Última atualização: 18/01/2021;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Código OACI;CIAD;Nome;Município;UF;Longitude;Latitude;Altitude;Operação;Designação;Comprimento;Largura;Resistência;Superfície;Validade do Registro;Portaria de Registro;Link Portaria
SIFU;RJ0021;Fazenda Ribeirão;BARRA DO PIRAÍ;Rio de Janeiro;"043°46'31,0""O";"22°24'56,0""S";402;VFR Diurna;7/25;600;18;4000Kg / ,5 MPa;Grama;26/04/2022;PA2012-0772;https://pergamum.anac.gov.br/arquivos/PA2012-0772
SJZN;MT0238;Fazenda Cima;SAPEZAL;Mato Grosso;"058°36'33,0""O";"12°59'26,0""S";491;VFR Diurna;4/22;1100;18;5700Kg / ,5 MPa;Cascalho;23/06/2025;PA2015-1535;https://pergamum.anac.gov.br/arquivos/PA2015-1535
SIBO;MG0091;Simão Sarkis Simão;TRÊS MARIAS;Minas Gerais;"045°17'36,0""O";"18°18'35,0""S";575;VFR Diurna;17/35;800;18;10/F/B/Y/U;Asfalto;02/10/2025;PA2015-2608;https://pergamum.anac.gov.br/arquivos/PA2015-2608
SDEN;SC0023;COSTA ESMERALDA;PORTO BELO;Santa Catarina;"048°37'18,4""O";"27°09'59,5""S";6;VFR Noturna;15/33;1195;23;13/F/D/Y/T;Asfalto;27/03/2025;PA2019-3014;https://pergamum.anac.gov.br/arquivos/PA2019-3014
SDCH;GO0037;Fazenda Rosa dos Ventos;ITUMBIARA;Goiás;"049°50'47,0""O";"18°18'06,0""S";553;VFR Diurna;15/33;1000;23;5600Kg / ,5 MPa;Terra;06/08/2022;PA2015-2263;https://pergamum.anac.gov.br/arquivos/PA2015-2263
SDRM;RR0013;Olomai;AMAJARI;Roraima;"064°11'05,0""O";"03°55'36,0""N";173;VFR Diurna;13/31;426;17;4000Kg / ,5 MPa;Grama;;;
SDLM;RR0007;Guariba;NORMANDIA;Roraima;"059°55'36,0""O";"03°51'19,0""N";38;VFR Diurna;10/28;742;13;4000Kg / ,5 MPa;Grama;14/12/2020;PA2010-2244;https://pergamum.anac.gov.br/arquivos/PA2010-2244
SSZD;RO0026;Zirondi;PORTO VELHO;Rondônia;"063°44'02,0""O";"08°46'27,0""S";84;VFR Noturna;4/22;1400;20;16/F/B/Y/U;Asfalto;24/10/2024;PA2017-0510;https://pergamum.anac.gov.br/arquivos/PA2017-0510
SDCK;MG0080;Fazenda Gleba da Barra;BRASILÂNDIA DE MINAS;Minas Gerais;"046°04'19,0""O";"17°00'48,0""S";508;VFR Diurna;8/26;1300;30;4000Kg / ,5 MPa;Terra;14/05/2022;PA2012-0930;https://pergamum.anac.gov.br/arquivos/PA2012-0930
SWPW;SP0280;CEA-Caçapava;CAÇAPAVA;São Paulo;"045°39'46,0""O";"23°07'36,0""S";670;VFR Diurna;16/34;1380;30;20/F/B/X/T;Asfalto;26/09/2028;PA2018-2871;https://pergamum.anac.gov.br/arquivos/PA2018-2871
SDSP;RR0017;Santa Inês;AMAJARI;Roraima;"061°20'25,0""O";"04°08'11,0""N";58;VFR Diurna;17/35;620;20;4000Kg / ,5 MPa;Terra;;;
SSYP;MA0048;Gessomar;CODÓ;Maranhão;"043°55'10,0""O";"04°31'15,0""S";58;VFR Diurna;4/22;700;18;2155Kg / ,5 MPa;Piçarra;28/12/2021;PA2011-2561;https://pergamum.anac.gov.br/arquivos/PA2011-2561
SWAP;MT0326;Sementes Petrovina;PEDRA PRETA;Mato Grosso;"054°03'52,0""O";"16°50'55,0""S";725;VFR Diurna;5/23;1050;20;5700Kg / ,5 MPa;Cascalho;17/04/2023;PA2013-0967;https://pergamum.anac.gov.br/arquivos/PA2013-0967
SWAJ;RS0101;Viatec Aviação Agrícola;SANTA VITÓRIA DO PALMAR;Rio Grande do Sul;"053°16'00,9""O";"33°13'00,4""S";28;VFR Diurna;3/21;800;20;4000Kg / ,5 MPa;Saibro;25/01/2022;PA2015-2949;https://pergamum.anac.gov.br/arquivos/PA2015-2949
SIJK;BA0088;Fazenda Capuame;CAMAÇARI;Bahia;"038°11'48,0""O";"12°41'32,0""S";24;VFR Diurna;13/31;900;23;5700Kg / ,5 MPa;Terra;13/03/2025;PA2015-0621;https://pergamum.anac.gov.br/arquivos/PA2015-0621
SJBW;RS0073;Berger Vile;;;"051°12'35,0""O";"29°43'59,0""S";8;VFR Diurna;1/19;799;18;5000Kg / ,25 MPa;Grama;10/10/2026;PA2017-2365;https://pergamum.anac.gov.br/arquivos/PA2017-2365
SWHS;GO0127;Fazenda São João;MAURILÂNDIA;Goiás;"050°23'13,0""O";"18°03'12,0""S";519;VFR Diurna;9/27;800;30;5200Kg / ,5 MPa;Cascalho;13/06/2022;PA2012-1174;https://pergamum.anac.gov.br/arquivos/PA2012-1174
SWOS;GO0141;Fazenda Santa Márcia;CAIAPÔNIA;Goiás;"052°08'33""O";"16°34'51,0""S";663;VFR Diurna;11/29;1150;28;5700Kg / ,5 MPa;Cascalho;25/05/2026;PA2016-1280;https://pergamum.anac.gov.br/arquivos/PA2016-1280
SSQD;MT0310;Fazenda Panamby;QUERÊNCIA;Mato Grosso;"052°10'39""O";"13°02'49,0""S";380;VFR Diurna;12/30;1300;23;9/F/B/X/T;Asfalto;16/12/2024;PA2014-2993;https://pergamum.anac.gov.br/arquivos/PA2014-2993
SSBF;MS0247;Fazenda JL;APARECIDA DO TABOADO;Mato Grosso do Sul;"051°23'12,0""O";"20°00'16,0""S";427;VFR Diurna;7/25;1000;20;5000Kg / ,5 MPa;Cascalho;28/09/2022;PA2012-1952;https://pergamum.anac.gov.br/arquivos/PA2012-1952
SDIZ;PI0014;Fazenda Diamante;BAIXA GRANDE DO RIBEIRO;Piauí;"045°30'15,0""O";"09°03'32,0""S";545;VFR Diurna;11/29;1400;23;5700Kg / ,5 MPa;Piçarra;29/01/2025;PA2015-0220;https://pergamum.anac.gov.br/arquivos/PA2015-0220
SNZU;PA0121;Fazenda Nova Conceição;TOMÉ-AÇU;Pará;"048°13'58,0""O";"02°51'20,0""S";74;VFR Diurna;11/29;870;20;4500Kg / ,5 MPa;Terra;09/08/2023;PA2013-2025;https://pergamum.anac.gov.br/arquivos/PA2013-2025
SILI;PI0021;Fazenda Santa Clara;BOM JESUS;Piauí;"045°02'47,0""O";"09°11'19,0""S";621;VFR Diurna;12/30;900;18;5700Kg / ,5 MPa;Cascalho;29/05/2023;PA2013-1384;https://pergamum.anac.gov.br/arquivos/PA2013-1384
SWIX;MT0356;JPO;SORRISO;Mato Grosso;"055°45'57,0""O";"12°36'21,0""S";359;VFR Diurna;15/33;790;18;4300Kg / ,5 MPa;Cascalho;15/03/2023;PA2016-1694;https://pergamum.anac.gov.br/arquivos/PA2016-1694
